index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol	prop13	par13	min13	max13
jamellasunique907	907	100	1		1		79		rin			5	5000								ass		1	5	oskill	153	6	79	abs-fire%		25	50	cast1		10	25	move1		15	104	dmg-to-mana		25	50	mana-kill		24	45																						0				
jamellasunique908	908	100	1		1		89		rin			5	5000								ass		1	5	dmg%		89	178	move1		15	114	hp		178	267	balance1		35	35	ease		-89	-89	cheap		10	20	addxp		10	20																		0				
jamellasunique909	909	100	1		1		91		rin			5	5000								allskills		1	2	hp		182	273	all-stats		27	51	enr		91	137	regen-mana		45	182	half-freeze		1	1	cheap		10	20	mana		182	273	oskill	153	6	91														0				
jamellasunique910	910	100	1		1		94		rin			5	5000								ass		1	5	fireskill		1	6	res-fire-max		10	20	abs-fire%		25	50	addxp		10	20	cheap		10	20	ease		-94	-94	regen		47	188	heal-kill		28	52	demon-heal		28	52	mag%		119	238	gold%		238	382		0				
jamellasunique911	911	100	1		1		1		amu			5	5000								dru		1	2	dmg%		1	2	vit		1	2																																						0				
jamellasunique912	912	100	1		1		11		amu			5	5000								sor		1	2	extra-cold		5	11	res-cold		19	30	cast1		10	25	mana%		5	11																														0				
jamellasunique913	913	100	1		1		22		amu			5	5000								allskills		1	1	res-all		22	31	all-stats		10	16	vit		22	33	str		22	33	swing1		10	31	thorns		22	44	heal-kill		10	16																		0				
jamellasunique914	914	100	1		1		34		amu			5	5000								dru		1	3	enr		34	51	all-stats		13	22	hp%		17	34	mag%		59	118	heal-kill		13	22																										0				
jamellasunique915	915	100	1		1		43		amu			5	5000								pal		1	3	all-stats		15	27	move1		15	68	heal-kill		15	27	regen		21	86	dmg%		43	86	res-all-max		10	20	vit		43	65																		0				
jamellasunique916	916	100	1		1		54		amu			5	5000								ass		1	4	res-all		28	40	all-stats		18	32	mag%		79	158	cheap		10	20	mana-kill		18	32	dmg-to-mana		25	50	extra-fire		27	54	abs-fire%		25	50	hp%		27	54										0				
jamellasunique917	917	100	1		1		64		amu			5	5000								pal		1	4	vit		64	96	hp%		32	64	extra-ltng		32	64	regen-mana		32	128	mag%		89	178	mana-kill		21	37	cheap		10	20	regen		32	128	dmg-to-mana		25	50										0				
jamellasunique918	918	100	1		1		83		amu			5	5000								ass		1	5	heal-kill		25	47	cheap		10	20	ease		-83	-83	vit		83	125	abs-cold%		25	50	half-freeze		1	1	dmg-to-mana		25	50	demon-heal		25	47														0				
jamellasunique919	919	100	1		1		85		amu			5	5000								ass		1	5	all-stats		26	48	regen-mana		42	170	oskill	153	6	85	heal-kill		26	48	res-ltng-max		10	20	cheap		10	20																						0				
jamellasunique920	920	100	1		1		91		amu			5	5000								dru		1	5	gold%		232	373	addxp		10	20	heal-kill		27	51	regen-mana		45	182	enr		91	137	mag%		116	232	oskill	153	6	91	cast1		10	25	extra-cold		45	91	mana-kill		27	51						0				
jamellasunique921	921	100	1		1		99		amu			5	5000								dmg%		99	198	ass		1	5	demon-heal		29	55	all-stats		29	55	gold%		248	397	mag%		124	248	vit		99	149	dex		99	149	heal-kill		29	55														0				
jamellasunique922	922	100	1		1		3		hax			5	5000								pal		1	2	dmg%		65	130	dmg-ac		50	80																																						0				
jamellasunique923	923	100	1		1		15		2ax			5	5000								pal		1	2	light-thorns		15	30	res-ltng-max		10	20	ease		-15	-15	heal-kill		8	13	mana%		7	15	cast1		10	25																						0				
jamellasunique924	924	100	1		1		5		lax			5	5000								allskills		1	1	dmg%		75	150	dmg-demon		215	525																																						0				
jamellasunique925	925	100	1		1		20		bwn			5	5000								dru		1	2	mana-kill		10	15	mana		40	60	res-fire-max		10	20	cheap		10	20	regen-mana		10	40																										0				
jamellasunique926	926	100	1		1		1		clb			5	5000								ass		1	2	mag%		26	52	regen-mana		0	2																																						0				
jamellasunique927	927	100	1		1		22		wsp			5	5000								allskills		1	1	addxp		10	20	dmg-ltng		110	220	move1		15	47	oskill	81	6	22	regen-mana		11	44	mana-kill		10	16																						0				
jamellasunique928	928	100	1		1		4		spc			5	5000								allskills		1	1	half-freeze		1	1	addxp		10	20	all-stats		6	7																																		0				
jamellasunique929	929	100	1		1		16		mst			5	5000								sor		1	2	cheap		10	20	addxp		10	20	regen		8	32																																		0				
jamellasunique930	930	100	1		1		16		fla			5	5000								allskills		1	1	mana-kill		9	13	regen		8	32	gold%		82	148	demon-heal		9	13	regen-mana		8	32																										0				
jamellasunique931	931	100	1		1		16		bsd			5	5000								dru		1	2	dmg%		130	260	openwounds		35	70	res-all		19	28	demon-heal		9	13																														0				
jamellasunique932	932	100	1		1		16		clm			5	5000								ass		1	2	all-stats		9	13	hp%		8	16	heal-kill		9	13	demon-heal		9	13	cheap		10	20	mana-kill		9	13	ease		-16	-16																		0				
jamellasunique933	933	100	1		1		26		bld			5	5000								ass		1	3	oskill	81	6	26	all-stats		11	18	hp		52	78	abs-ltng%		25	50	mana%		13	26	move1		15	51																						0				
jamellasunique934	934	100	1		1		2		tkf			5	5000								dru		1	2	dmg-cold	150	10	20	res-cold		5	9																																						0				
jamellasunique935	935	100	1		1		6		tax			5	5000								allskills		1	1	hp		12	18	att-undead		106	218																																						0				
jamellasunique936	936	100	1		1		31		tsp			5	5000								dmg%		205	410	openwounds		35	70	hp%		15	31	cheap		10	20	ass		1	3	mag%		56	112	dmg-ac		50	360	dex		31	47																		0				
jamellasunique937	937	100	1		1		7		spr			5	5000								ama		1	2	all-stats		6	9	move1		15	32	extra-cold		14	21	res-cold		16	25																														0				
jamellasunique938	938	100	1		1		19		spt			5	5000								dru		1	2	dmg%		145	290	deadly		35	70	demon-heal		9	15																																		0				
jamellasunique939	939	100	1		1		38		hal			5	5000								dmg%		240	480	all-stats		14	24	ignore-ac		1	1	ama		1	3	hp		76	114																														0				
jamellasunique940	940	100	1		1		9		lst			5	5000								sor		1	2	vit		9	14	enr		9	14	move1		15	34																																		0				
jamellasunique941	941	100	1		1		20		bst			5	5000								ass		1	2	res-pois-len		75	75	res-pois		24	38	mana		40	60	hp%		10	20	move1		15	45	cast1		10	25	regen		10	40																		0				
jamellasunique942	942	100	1		1		4		hbw			5	5000								ama		1	2	dmg%		70	140	att%		104	212	indestruct		1	1																																		0				
jamellasunique943	943	100	1		1		32		swb			5	5000								allskills		1	1	enr		32	48	vit		32	48	pierce-immunity-poison		300	300	res-pois-max		10	20	heal-kill		13	21	demon-heal		13	21	regen-mana		16	64	addxp		10	20														0				
jamellasunique944	944	100	1		1		28		hxb			5	5000								ama		1	3	vit		28	42	dmg-fire		140	280	extra-fire		56	84	res-all		23	34	abs-fire%		25	50																										0				
jamellasunique945	945	100	1		1		32		9ha			5	5000								pal		1	3	dmg%		210	420	aura	113	3	11	dmg-undead		296	660	ethereal		1	1	indestruct		1	1	thorns		32	64	noheal		1	1																		0				
jamellasunique946	946	100	1		1		60		9wa			5	5000								dru		1	4	res-all		29	41	mana%		30	60	pierce-immunity-poison		300	300	heal-kill		20	35	mag%		85	170	regen-mana		30	120	demon-heal		20	35																		0				
jamellasunique947	947	100	1		1		50		9gw			5	5000								dru		1	3	regen-mana		25	100	oskill	250	6	50	cheap		10	20	regen		25	100	ease		-50	-50																										0				
jamellasunique948	948	100	1		1		32		9sc			5	5000								dru		1	3	ease		-32	-32	mag%		57	114	regen-mana		16	64	res-pois-len		75	75	pierce-immunity-poison		300	300	dmg-pois	75	160	320	enr		32	48	mana		64	96														0				
jamellasunique949	949	100	1		1		34		9ma			5	5000								nec		1	3	gold%		118	202	hp%		17	34	res-pois-len		75	75	demon-heal		13	22	res-pois		29	45	mana-kill		13	22	mag%		59	118	heal-kill		13	22	ease		-34	-34										0				
jamellasunique950	950	100	1		1		50		9sm			5	5000								pal		1	3	dmg%		300	600	hp		100	150	dex		50	75	aura	122	3	17	att-demon		150	350	demon-heal		17	30	oskill	32	3	17	noheal		1	1														0				
jamellasunique951	951	100	1		1		36		9sb			5	5000								sor		1	3	move1		15	61	res-all		25	36	abs-ltng%		25	50	extra-ltng		72	108	addxp		10	20	ease		-36	-36	demon-heal		14	23	light-thorns		36	72														0				
jamellasunique952	952	100	1		1		37		9fc			5	5000								sor		1	3	heal-kill		14	24	light-thorns		37	74	hp		74	111	mana-kill		14	24	regen-mana		18	74	oskill	57	6	37																						0				
jamellasunique953	953	100	1		1		50		9bs			5	5000								dru		1	3	all-stats		17	30	vit		50	75	mana%		25	50	cast1		10	25	mana		100	150	res-pois-max		10	20	mag%		75	150	res-pois-len		75	75														0				
jamellasunique954	954	100	1		1		47		9ls			5	5000								pal		1	3	res-cold		32	49	dmg-cold	150	235	470	freeze		1	1	mana-kill		16	29	aura	114	3	16	cheap		10	20	heal-kill		16	29																		0				
jamellasunique955	955	100	1		1		45		92h			5	5000								pal		1	3	vit		45	68	abs-cold%		25	50	all-stats		16	28	mana%		22	45	hp		90	135	extra-cold		90	135																						0				
jamellasunique956	956	100	1		1		67		9gd			5	5000								pal		1	4	vit		67	101	half-freeze		1	1	regen		33	134	heal-kill		21	39	demon-heal		21	39																										0				
jamellasunique957	957	100	1		1		44		9di			5	5000								allskills		1	1	regen-mana		22	88	abs-fire%		25	50	hp%		22	44	mag%		69	138	aura	102	3	15	ease		-44	-44	heal-kill		16	27	demon-heal		16	27														0				
jamellasunique958	958	100	1		1		60		9bl			5	5000								allskills		1	2	move1		15	85	enr		60	90	res-pois-len		75	75	oskill	58	6	60	vit		60	90	regen-mana		30	120																						0				
jamellasunique959	959	100	1		1		39		9tk			5	5000								sor		1	3	regen		19	78	mag%		64	128	regen-mana		19	78	addxp		10	20	hp%		19	39	all-stats		14	25	cast1		10	25	gold%		128	217														0				
jamellasunique960	960	100	1		1		38		9bk			5	5000								ass		1	3	addxp		10	20	abs-ltng%		25	50	res-ltng		30	46	dmg-ltng		190	380	cast1		10	25	cheap		10	20	regen-mana		19	76																		0				
jamellasunique961	961	100	1		1		34		9b8			5	5000								dru		1	3	dmg%		220	440	ethereal		1	1	indestruct		1	1	slow		25	25	all-stats		13	22	oskill	121	6	34	addxp		10	20	regen		17	68														0				
jamellasunique962	962	100	1		1		40		9tr			5	5000								ama		1	3	dmg-ltng		200	400	hp		80	120	res-ltng		30	47	abs-ltng%		25	50	gold%		130	220	ease		-40	-40																						0				
jamellasunique963	963	100	1		1		45		9br			5	5000								allskills		1	1	pierce-immunity-damage		300	300	swing1		15	70	slow		25	25	crush		25	25	move1		15	70	reduce-ac		50	75	att-undead		145	335																		0				
jamellasunique964	964	100	1		1		50		9p9			5	5000								ama		1	3	mana-kill		17	30	freeze		1	1	half-freeze		1	1	mana%		25	50	all-stats		17	30	aura	114	3	17	gold%		150	250	cheap		10	20	ease		-50	-50										0				
jamellasunique965	965	100	1		1		36		9pa			5	5000								allskills		1	1	move1		15	61	pierce-immunity-poison		300	300	cast1		10	25	heal-kill		14	23	regen		18	72	mana%		18	36	enr		36	54																		0				
jamellasunique966	966	100	1		1		31		8ls			5	5000								allskills		1	1	gold%		112	193	mana%		15	31	pierce-immunity-light		300	300	regen		15	62	ease		-31	-31																										0				
jamellasunique967	967	100	1		1		53		8cs			5	5000								sor		1	4	ease		-53	-53	regen		26	106	addxp		10	20	light-thorns		53	106	res-ltng-max		10	20	hp		106	159	mana-kill		18	32																		0				
jamellasunique968	968	100	1		1		41		8bs			5	5000								sor		1	3	regen-mana		20	82	addxp		10	20	enr		41	62	cheap		10	20	mana-kill		15	26	ease		-41	-41	half-freeze		1	1	mag%		66	132	all-stats		15	26										0				
jamellasunique969	969	100	1		1		31		8sb			5	5000								ama		1	3	mana-kill		12	21	res-pois-len		75	75	mag%		56	112	ease		-31	-31	heal-kill		12	21	gold%		112	193	oskill	81	6	31	move1		15	56														0				
jamellasunique970	970	100	1		1		46		8s8			5	5000								ama		1	3	dex		46	69	att%		146	338	dmg-ac		50	510	oskill	121	6	46	dmg%		280	560																										0				
jamellasunique971	971	100	1		1		11		axf			5	5000								ass		1	2	regen-mana		5	22	addxp		10	20	aura	102	3	4	mana-kill		7	11	move1		15	36																										0				
jamellasunique972	972	100	1		1		19		clw			5	5000								ass		1	2	gold%		88	157	all-stats		9	15	mana		38	57	demon-heal		9	15	mana-kill		9	15	regen		9	38																						0				
jamellasunique973	973	100	1		1		53		9cs			5	5000								allskills		1	2	vit		53	80	abs-ltng%		25	50	dmg-ltng		265	530	aura	118	3	18	mag%		78	156	regen		26	106	cast1		10	25	pierce-immunity-light		300	300	res-all		28	40										0				
jamellasunique974	974	100	1		1		51		9lw			5	5000								dmg%		305	610	hp		102	153	dmg-undead		353	755	noheal		1	1	heal-kill		17	31	gold%		152	253	levelreq		1	1	cheap		10	20	indestruct		1	1														0				
jamellasunique975	975	100	1		1		76		9qr			5	5000								dmg%		430	860	allskills		1	2	str		76	114	regen		38	152	thorns		76	152	indestruct		1	1																										0				
jamellasunique976	976	100	1		1		70		7ar			5	5000								allskills		1	2	dmg-ac		50	750	vit		70	105	slow		25	25	dmg-norm		350	700	att%		170	410	res-all		30	43																						0				
jamellasunique977	977	100	1		1		69		7lw			5	5000								allskills		1	2	res-all-max		10	20	dmg-norm		345	690	att%		169	407	deadly		35	70	openwounds		35	70	dex		69	104	slow		25	25	move1		15	94	all-stats		22	40	hp%		34	69						0				
jamellasunique978	978	100	1		1		94		7qr			5	5000								ass		1	5	aura	118	3	32	regen		47	188	pierce-immunity-light		300	300	hp%		47	94	move1		15	119	light-thorns		94	188	oskill	57	6	94	gold%		238	382	demon-heal		28	52	res-all-max		10	20						0				
jamellasunique979	979	100	1		1		81		7ax			5	5000								ass		1	5	mana-kill		25	46	res-pois-len		75	75	res-pois		36	55	addxp		10	20	heal-kill		25	46	mag%		106	212	demon-heal		25	46	regen		40	162	oskill	121	6	81										0				
jamellasunique980	980	100	1		1		76		72a			5	5000								allskills		1	2	res-fire-max		10	20	abs-fire%		25	50	cheap		10	20	heal-kill		24	43	mag%		101	202	aura	102	3	26	addxp		10	20	demon-heal		24	43														0				
jamellasunique981	981	100	1		1		86		7mp			5	5000								pal		1	5	dmg%		480	960	att%		186	458	all-stats		26	48	dex		86	129	cheap		10	20	att-undead		186	458	att-demon		186	458	noheal		1	1	addxp		10	20										0				
jamellasunique982	982	100	1		1		80		7wa			5	5000								dru		1	5	gold%		210	340	cast1		10	25	mana-kill		25	45	demon-heal		25	45	cheap		10	20	aura	102	3	27	regen-mana		40	160	res-all		31	44	regen		40	160	heal-kill		25	45	oskill	58	6	80		0				
jamellasunique983	983	100	1		1		82		7bt			5	5000								sor		1	5	mana		164	246	hp%		41	82	move1		15	107	regen-mana		41	164	oskill	32	3	28	regen		41	164	ease		-82	-82	heal-kill		25	46	half-freeze		1	1	addxp		10	20						0				
jamellasunique984	984	100	1		1		98		7bw			5	5000								allskills		1	2	mana%		49	98	enr		98	147	move1		15	123	hp		196	294	regen		49	196	heal-kill		29	54	mana		196	294	pierce-immunity-light		300	300	all-stats		29	54	oskill	58	6	98						0				
jamellasunique985	985	100	1		1		57		7sc			5	5000								allskills		1	2	dmg%		335	670	res-all		28	41	att%		157	371	swing1		15	82	vit		57	86	levelreq		1	1	dmg-demon		371	785	thorns		57	114	gold%		164	271	cheap		10	20						0				
jamellasunique986	986	100	1		1		72		7sp			5	5000								allskills		1	2	hp		144	216	light-thorns		72	144	mana-kill		23	41	mag%		97	194	aura	118	3	24	demon-heal		23	41	ease		-72	-72	oskill	81	6	72	gold%		194	316										0				
jamellasunique987	987	100	1		1		76		7fl			5	5000								pal		1	5	dmg-norm		380	760	ethereal		1	1	indestruct		1	1	mag%		101	202	heal-kill		24	43	dmg%		430	860	hp		152	228	dmg-demon		428	880	demon-heal		24	43	levelreq		1	1						0				
jamellasunique988	988	100	1		1		98		7wd			5	5000								allskills		1	2	move1		15	123	hp		196	294	res-all-max		10	20	extra-ltng		196	294	light-thorns		98	196																										0				
jamellasunique989	989	100	1		1		50		72h			5	5000								ass		1	3	dmg%		300	600	hp		100	150	deadly		35	70	ignore-ac		1	1	indestruct		1	1	gold%		150	250	noheal		1	1	dmg-undead		350	750														0				
jamellasunique990	990	100	1		1		99		7fb			5	5000								dmg%		545	1090	hp		198	297	crush		25	50	vit		99	149	res-all		32	46	all-stats		29	55	str		99	149	att%		199	497	dmg-ac		50	1040	dmg-demon		497	995	att-demon		199	497	regen		49	198		0				
jamellasunique991	991	100	1		1		62		7tk			5	5000								ass		1	4	cheap		10	20	hp		124	186	fireskill		1	5	res-all		29	42	regen		31	124	addxp		10	20	heal-kill		20	36	regen-mana		31	124	mag%		87	174										0				
jamellasunique992	992	100	1		1		99		7bk			5	5000								ass		1	5	dmg%		545	1090	slow		25	25	all-stats		29	55	ease		-99	-99	att		520	1015	ignore-ac		1	1	att-undead		199	497	regen		49	198	balance1		35	35	ethereal		1	1	indestruct		1	1		0				
jamellasunique993	993	100	1		1		80		7pi			5	5000								ass		1	5	res-all		31	44	mana		160	240	regen		40	160	ease		-80	-80	addxp		10	20	gold%		210	340	pierce-immunity-fire		300	300																		0				
jamellasunique994	994	100	1		1		99		7ts			5	5000								ass		1	5	mana%		49	99	res-all		32	46	cast1		10	25	vit		99	149	mana-kill		29	55	gold%		248	397	ease		-99	-99	oskill	54	3	33	mag%		124	248	abs-fire%		25	50	fireskill		1	6		0				
jamellasunique995	995	100	1		1		77		7s8			5	5000								ama		1	5	enr		77	116	vit		77	116	res-all-max		10	20	all-stats		24	44	hp		154	231	res-pois-len		75	75	ease		-77	-77	demon-heal		24	44	extra-pois		231	308	gold%		204	331	cheap		10	20		0				
jamellasunique996	996	100	1		1		82		6ws			5	5000								allskills		1	2	ease		-82	-82	vit		82	123	light-thorns		82	164	regen		41	164	heal-kill		25	46	mana%		41	82																						0				
jamellasunique997	997	100	1		1		51		6lb			5	5000								ama		1	4	res-all-max		10	20	openwounds		35	70	slow		25	25	move1		15	76	deadly		35	70	str		51	77	reduce-ac		50	75	dmg%		305	610														0				
jamellasunique998	998	100	1		1		71		6mx			5	5000								allskills		1	2	dmg%		405	810	indestruct		1	1	aura	122	3	24	deadly		35	70	att		380	735	ethereal		1	1	indestruct		1	1	regen		35	142														0				
jamellasunique999	999	100	1		1		74		6hx			5	5000								allskills		1	2	mana-kill		23	42	freeze		1	1	res-all-max		10	20	oskill	81	6	74	ease		-74	-74	res-all		30	44																						0				
jamellasunique1000	1000	100	1		1		99		6rx			5	5000								ama		1	5	dmg%		545	1090	mag%		124	248	att-undead		199	497	str		99	149	dmg-ac		50	1040	att%		199	497	res-all-max		10	20																		0				
jamellasunique1001	1001	100	1		1		7		ob2			5	5000								allskills		1	1	heal-kill		6	9	res-pois-max		10	20	hp%		3	7																																		0				
jamellasunique1002	1002	100	1		1		20		ob4			5	5000								allskills		1	1	enr		20	30	cheap		10	20	mag%		45	90	half-freeze		1	1	gold%		90	160	vit		20	30																						0				
jamellasunique1003	1003	100	1		1		17		am1			5	5000								allskills		1	1	mag%		42	84	mana		34	51	regen		8	34	ease		-17	-17																														0				
jamellasunique1004	1004	100	1		1		22		am2			5	5000								allskills		1	1	extra-pois		66	88	dmg-pois	75	110	220	regen-mana		11	44	gold%		94	166	res-pois-len		75	75	demon-heal		10	16	regen		11	44	ease		-22	-22														0				
jamellasunique1005	1005	100	1		1		23		am5			5	5000								allskills		1	1	addxp		10	20	fireskill		1	3	hp		46	69	mag%		48	96	heal-kill		10	17																										0				
jamellasunique1006	1006	100	1		1		32		ob6			5	5000								allskills		1	1	mana		64	96	vit		32	48	res-pois-len		75	75	oskill	32	3	11	regen		16	64	mana-kill		13	21	heal-kill		13	21																		0				
jamellasunique1007	1007	100	1		1		51		ob8			5	5000								sor		1	4	cast1		10	25	mana-kill		17	31	demon-heal		17	31	cheap		10	20	all-stats		17	31	heal-kill		17	31	gold%		152	253	regen-mana		25	102														0				
jamellasunique1008	1008	100	1		1		39		ama			5	5000								allskills		1	1	mana-kill		14	25	mana		78	117	vit		39	59	regen-mana		19	78	res-pois-len		75	75																										0				
jamellasunique1009	1009	100	1		1		72		obb			5	5000								sor		1	4	extra-cold		144	216	cheap		10	20	addxp		10	20	heal-kill		23	41	mana-kill		23	41	ease		-72	-72	half-freeze		1	1	regen		36	144	regen-mana		36	144	oskill	81	6	72						0				
jamellasunique1010	1010	100	1		1		92		amc			5	5000								allskills		1	2	str		92	138	dmg-demon		476	960	balance1		35	35	aura	122	3	31	mag%		117	234																										0				
jamellasunique1011	1011	100	1		1		67		amd			5	5000								allskills		1	2	cheap		10	20	hp%		33	67	enr		67	101	res-all		30	43	pierce-immunity-fire		300	300	demon-heal		21	39	heal-kill		21	39	regen		33	134	mag%		92	184	oskill	32	3	23						0				
jamellasunique1012	1012	100	1		1		85		ame			5	5000								ama		1	5	hp%		42	85	pierce-immunity-light		300	300	res-all-max		10	20	mana-kill		26	48	addxp		10	20	ease		-85	-85	oskill	32	3	29	res-ltng		37	56	gold%		220	355	light-thorns		85	170						0				
jamellasunique1013	1013	100	1		1		12		hlm			5	5000								ama		1	2	extra-fire		6	12	fireskill		1	2	enr		12	18	regen-mana		6	24																														0				
jamellasunique1014	1014	100	1		1		14		fhl			5	5000								nec		1	2	res-pois-max		10	20	move1		15	39	extra-pois		7	14																																		0				
jamellasunique1015	1015	100	1		1		6		stu			5	5000								dru		1	2	half-freeze		1	1	gold%		62	118	mag%		31	62	red-mag		3	6																														0				
jamellasunique1016	1016	100	1		1		11		rng			5	5000								allskills		1	1	extra-pois		5	11	move1		15	36																																						0				
jamellasunique1017	1017	100	1		1		16		chn			5	5000								allskills		1	1	addxp		10	20	abs-fire%		25	50	regen-mana		8	32	regen		8	32																														0				
jamellasunique1018	1018	100	1		1		21		spl			5	5000								dru		1	2	dmg%		21	42	red-dmg		10	21	ac%		121	263	addxp		10	20																														0				
jamellasunique1019	1019	100	1		1		24		tow			5	5000								ama		1	2	pal		1	2	move1		15	49	res-all-max		10	20	vit		24	36	red-dmg%		19	27																										0				
jamellasunique1020	1020	100	1		1		12		mgl			5	5000								pal		1	2	vit		12	18	enr		12	18	extra-fire		6	12	abs-fire%		25	50	dmg-to-mana		25	50	addxp		10	20																						0				
jamellasunique1021	1021	100	1		1		28		hgl			5	5000								ama		1	3	dmg-to-mana		25	50	mag%		53	106	res-all-max		10	20	mana		56	84	all-stats		12	19	regen-mana		14	56	oskill	58	6	28	gold%		106	184														0				
jamellasunique1022	1022	100	1		1		2		lbt			5	5000								dru		1	2	mana%		1	2	ease		-2	-2																																						0				
jamellasunique1023	1023	100	1		1		11		mbl			5	5000								pal		1	2	dmg-to-mana		25	50	cheap		10	20	regen		5	22	res-all		17	24	vit		11	17	aura	100	3	4																						0				
jamellasunique1024	1024	100	1		1		22		bsh			5	5000								pal		1	2	enr		22	33	all-stats		10	16	mana		44	66	res-fire		25	39																														0				
jamellasunique1025	1025	100	1		1		46		xlm			5	5000								sor		1	3	heal-kill		16	28	hp		92	138	res-cold		31	48	all-stats		16	28	cast1		10	25	aura	105	3	16	cheap		10	20																		0				
jamellasunique1026	1026	100	1		1		39		xhl			5	5000								ama		1	3	red-dmg		19	39	all-stats		14	25	res-all-max		10	20	mag%		64	128																														0				
jamellasunique1027	1027	100	1		1		51		xhm			5	5000								allskills		1	2	res-all-max		10	20	mag%		76	152	dmg%		51	102	hp%		25	51	all-stats		17	31																										0				
jamellasunique1028	1028	100	1		1		49		xtu			5	5000								ama		1	3	dmg%		49	98	vit		49	74	hp		98	147	red-dmg%		24	33	hp%		24	49	heal-kill		17	30	ethereal		1	1	indestruct		1	1	pal		1	3										0				
jamellasunique1029	1029	100	1		1		54		xrs			5	5000								ama		1	4	move1		15	79	ease		-54	-54	cheap		10	20	mag%		79	158	mana-kill		18	32	regen-mana		27	108	oskill	32	3	18	res-pois		33	50														0				
jamellasunique1030	1030	100	1		1		57		xlt			5	5000								ama		1	4	vit		57	86	mana%		28	57	oskill	57	6	57	pal		1	4	cheap		10	20	regen-mana		28	114	ease		-57	-57	aura	110	3	19														0				
jamellasunique1031	1031	100	1		1		71		xar			5	5000								dru		1	4	dmg%		71	142	levelreq		1	1	res-all-max		10	20	swing1		10	56	str		71	107																										0				
jamellasunique1032	1032	100	1		1		45		xrg			5	5000								pal		1	3	dmg%		135	225	red-dmg%		23	32	ac-miss		250	475	heal-kill		16	28	ac-hth		250	475	addxp		10	20	all-stats		16	28	gold%		140	235	regen		22	90	aura	99	3	15						0				
jamellasunique1033	1033	100	1		1		44		xit			5	5000								dmg%		44	88	allskills		1	1	red-dmg%		23	32	cheap		10	20	ac		245	465	levelreq		1	1	hp		88	132	res-all		27	38	all-stats		16	27														0				
jamellasunique1034	1034	100	1		1		36		xvg			5	5000								pal		1	3	mana		72	108	res-all-max		10	20	aura	100	3	12	demon-heal		14	23	mag%		61	122	heal-kill		14	23	dmg-to-mana		25	50																		0				
jamellasunique1035	1035	100	1		1		66		xtg			5	5000								allskills		1	2	dmg%		198	330	levelreq		1	1	str		66	99	res-all-max		10	20	red-dmg%		26	35	ac%		166	398	hp%		33	66	ease		-66	-66	ac		355	685										0				
jamellasunique1036	1036	100	1		1		42		xmb			5	5000								ass		1	3	mana%		21	42	cast1		10	25	oskill	32	3	14	aura	110	3	14	ease		-42	-42	demon-heal		15	26																						0				
jamellasunique1037	1037	100	1		1		64		zhb			5	5000								sor		1	4	mana%		32	64	move1		15	89	regen-mana		32	128	aura	105	3	22	dmg-to-mana		25	50																										0				
jamellasunique1038	1038	100	1		1		3		dr1			5	5000								dru		1	2	abs-fire%		25	50	res-all-max		10	20																																						0				
jamellasunique1039	1039	100	1		1		21		dr4			5	5000								allskills		1	1	res-fire		25	39	heal-kill		10	16	dmg-to-mana		25	50																																		0				
jamellasunique1040	1040	100	1		1		3		ba1			5	5000								allskills		1	1	vit		3	5	mana%		1	3																																						0				
jamellasunique1041	1041	100	1		1		19		ba3			5	5000								allskills		1	1	move1		15	44	vit		19	29	res-fire-max		10	20																																		0				
jamellasunique1042	1042	100	1		1		20		ba4			5	5000								allskills		1	1	cheap		10	20	hp		40	60	hp%		10	20																																		0				
jamellasunique1043	1043	100	1		1		20		pa4			5	5000								pal		1	2	vit		20	30	addxp		10	20	demon-heal		10	15	oskill	40	6	20																														0				
jamellasunique1044	1044	100	1		1		33		pa5			5	5000								dmg%		99	165	red-dmg%		21	30	swing1		10	37	thorns		33	66	pal		1	3	regen		16	66	dex		33	50																						0				
jamellasunique1045	1045	100	1		1		16		ne3			5	5000								allskills		1	1	dmg%		16	32	balance1		35	35	move1		15	41	cheap		10	20	mag%		41	82	heal-kill		9	13																						0				
jamellasunique1046	1046	100	1		1		18		ne4			5	5000								allskills		1	1	addxp		10	20	regen-mana		9	36	res-all-max		10	20	cast1		10	25																														0				
jamellasunique1047	1047	100	1		1		54		ci1			5	5000								ama		1	4	ac%		154	362	res-all		28	40	vit		54	81	regen		27	108	gold%		158	262	ac-miss		295	565	ease		-54	-54																		0				
jamellasunique1048	1048	100	1		1		67		ci2			5	5000								ama		1	4	demon-heal		21	39	all-stats		21	39	extra-pois		33	67	vit		67	101	regen		33	134	mag%		92	184	res-pois-len		75	75	ease		-67	-67	dmg-to-mana		25	50	gold%		184	301	cheap		10	20		0				
